time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230727 11:29:00,928.0,-0.024053380281690184,36.64788732394368,647.4295774647908,7.71398,21.2233369,21.2,50.9,23.0,65536.0,1664614.4,3.9,3.7,3.5,2.9,19565.47847222222,hp,(-2.731085581213871+/-0)e-05,0.06538022263911997+/-0,0.0002848259051804743+/-0,1.0006567684944916,29.0,1175.5580531881421+/-0,154.78963579912048,5.337573648245534,0.13167332347333013,0.13167332347333013,-3.5961111516852192e-06,0.008608831204319186,3.750397354641265e-05,-3.5961111516852192e-06,0.008608831204319186,3.750397354641265e-05
20230727 11:29:04,932.0,-0.008313380281690153,32.64788732394368,782.4295774647908,7.43458,21.230934299999998,21.2,50.9,23.0,65536.0,1664614.4,3.9,3.7,3.5,2.9,19565.478518518517,hp,(-9.438992271431642+/-0)e-06,0.05824267672229404+/-0,0.0003442169162460062+/-0,1.0002547024754687,29.0,1175.5277143186274+/-0,151.95858450233453,5.239951189735674,0.1292683980576455,0.6487469157039122,-1.2201634102064652e-06,0.0075289375184802694,4.449636934746395e-05,-4.816274561891685e-06,0.016137768722799456,8.200034289387661e-05
20230727 11:29:08,936.0,0.054646619718309836,32.64788732394368,647.4295774647908,7.29996,21.234733,21.2,50.9,23.0,65536.0,1664614.4,3.9,3.7,3.5,2.9,19565.478564814814,hp,(6.204484190246188+/-0)e-05,0.058241925166825075+/-0,0.0002848259051804743+/-0,0.9983289790383689,29.0,1175.512545471103+/-0,150.5755499628175,5.19226034354543,0.12809352868494672,1.1611210304436992,7.947542735985986e-06,0.0074604137120232285,3.6484355255451e-05,3.131268174094301e-06,0.023598182434822684,0.0001184846981493276
20230727 11:29:12,940.0,0.07038661971830984,29.647887323943678,1052.4295774647908,7.058659999999999,21.2385317,21.2,50.8,23.0,65536.0,1664614.4,3.9,3.7,3.5,2.9,19565.47861111111,hp,(7.991473878730225+/-0)e-05,0.05288941781394845+/-0,0.00046299893837706995+/-0,0.9976315374220002,29.0,1175.497377015047+/-0,148.0650465613185,5.105691260735121,0.12595948698524673,1.664958978384686,1.006601950020859e-05,0.006661923934793317,5.8319108752689595e-05,1.3197287674302891e-05,0.030260106369616,0.0001768038069020172
20230727 11:29:16,944.0,0.03890661971830983,37.64788732394368,647.4295774647908,7.2034400000000005,21.2423304,21.2,50.8,23.0,65536.0,1664614.4,3.9,3.7,3.5,2.9,19565.478657407406,hp,(4.41727738100882+/-0)e-05,0.06715990004785087+/-0,0.0002848259051804743+/-0,0.9989676325405532,29.0,1175.4822089504444+/-0,149.574853248419,5.157753560290311,0.12724552707775158,2.1739410866956925,5.6207878859509745e-06,0.008545796880077897,3.6242822430087144e-05,1.8818075560253867e-05,0.03880590324969389,0.00021304662933210433
20230727 11:29:20,948.0,0.08612661971830984,29.647887323943678,512.4295774647908,7.34568,21.2461291,21.2,50.8,23.0,65536.0,1664614.4,3.9,3.7,3.5,2.9,19565.478703703702,hp,(9.778291275801438+/-0)e-05,0.052888052911277586+/-0,0.0002254348941149424+/-0,0.9971034311115379,29.0,1175.4670412772796+/-0,151.0434213734335,5.2083938404632235,0.12849651761337988,2.687927157149212,1.2564763771497784e-05,0.006795930622451347,2.8967598842311123e-05,3.138283933175165e-05,0.04560183387214524,0.00024201422817441546
20230727 11:29:24,952.0,0.07038661971830984,25.647887323943678,647.4295774647908,7.25678,21.2461291,21.2,50.7,23.0,65536.0,1664614.4,3.9,3.7,3.5,2.9,19565.47875,hp,(7.991267644959992+/-0)e-05,0.045752562637262+/-0,0.0002848259051804743+/-0,0.9972631670433055,29.0,1175.4670412772796+/-0,150.12664887969962,5.176780995851711,0.1277165957086894,3.1987935399839698,1.0206174990112858e-05,0.005843361544979679,3.637699497929614e-05,4.1589014321864506e-05,0.05144519541712492,0.0002783912231537116
20230727 11:29:28,956.0,0.054646619718309836,39.64788732394368,647.4295774647908,7.513319999999999,21.2423304,21.2,50.7,23.0,65536.0,1664614.4,3.9,3.7,3.5,2.9,19565.478796296295,hp,(6.204324070761676+/-0)e-05,0.07072769122136185+/-0,0.0002848259051804743+/-0,0.9986235986903038,29.0,1175.4822089504444+/-0,152.75820868624047,5.267524437456568,0.1299536543582689,3.7186081574170453,8.062745858184507e-06,0.009191321938539228,3.701416723410443e-05,4.965176018004901e-05,0.060636517355664145,0.00031540539038781603
20230727 11:29:32,960.0,0.054646619718309836,32.64788732394368,647.4295774647908,7.17804,21.2499278,21.2,50.7,23.0,65536.0,1664614.4,3.9,3.7,3.5,2.9,19565.47884259259,hp,(6.204163959541382+/-0)e-05,0.05823891913889857+/-0,0.0002848259051804743+/-0,0.9983289790383689,29.0,1175.4518739955379+/-0,149.30898634486098,5.148585736029689,0.1270226281892233,4.226698670173938,7.880692118578043e-06,0.007397660571922555,3.6179335052398356e-05,5.7532452298627056e-05,0.0680341779275867,0.0003515847254402144
